Rk,Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
103,103,Friday Jul 29,boxscore,OAK,@,CLE,L,3,5,,47-56,4,12.5,Anderson,Graveman,Allen,2:59,N,33134,-
104,104,Saturday Jul 30,boxscore,OAK,@,CLE,L,3,6,,47-57,4,13.5,Tomlin,Overton,,2:39,N,32850,--
105,105,Sunday Jul 31,boxscore,OAK,@,CLE,L,0,8,,47-58,4,14.5,Kluber,Gray,,2:43,D,23739,---
106,106,Tuesday Aug 2,boxscore,OAK,@,LAA,L,4,5,,47-59,5,14.5,Shoemaker,Manaea,Bedrosian,2:45,N,36052,----
107,107,Wednesday Aug 3,boxscore,OAK,@,LAA,L-wo,6,8,,47-60,5,14.5,Morin,Dull,,3:15,N,37306,-----
108,108,Thursday Aug 4,boxscore,OAK,@,LAA,W,8,6,10,48-60,5,14.5,Madson,Morin,Dull,3:54,D,34196,+
109,109,Friday Aug 5,boxscore,OAK,,CHC,L,2,7,,48-61,5,14.5,Lester,Overton,,2:56,N,25182,-
110,110,Saturday Aug 6,boxscore,OAK,,CHC,L,0,4,,48-62,5,15.5,Arrieta,Gray,,2:56,D,32358,--
111,111,Sunday Aug 7,boxscore,OAK,,CHC,L,1,3,,48-63,5,16.5,Hendricks,Manaea,Chapman,2:53,D,23450,---
112,112,Monday Aug 8,boxscore,OAK,,BAL,W,3,2,,49-63,5,16.5,Graveman,Gausman,Madson,2:29,N,10407,+
113,113,Tuesday Aug 9,boxscore,OAK,,BAL,W,2,1,,50-63,4,16.5,Neal,Miley,Madson,2:25,N,13573,++
114,114,Wednesday Aug 10,boxscore,OAK,,BAL,W,1,0,,51-63,4,16.5,Detwiler,Gallardo,Axford,2:24,N,13481,+++
115,115,Thursday Aug 11,boxscore,OAK,,BAL,L,6,9,,51-64,4,16.5,Tillman,Triggs,Britton,3:10,D,16610,-
116,116,Friday Aug 12,boxscore,OAK,,SEA,W,6,3,,52-64,4,16.5,Manaea,Wieland,Madson,2:19,N,14073,+
117,117,Saturday Aug 13,boxscore,OAK,,SEA,L,3,4,,52-65,4,16.5,Iwakuma,Graveman,Diaz,2:58,N,35067,-
118,118,Sunday Aug 14,boxscore,OAK,,SEA,L,4,8,,52-66,4,16.5,LeBlanc,Neal,,2:51,D,21203,--
119,119,Monday Aug 15,boxscore,OAK,@,TEX,L,2,5,,52-67,4,17.5,Perez,Detwiler,Dyson,2:42,N,22845,---
120,120,Tuesday Aug 16,boxscore,OAK,@,TEX,L-wo,4,5,10,52-68,4,18.5,Kela,Axford,,3:40,N,21877,----
121,121,Wednesday Aug 17,boxscore,OAK,@,TEX,L,2,6,,52-69,4,19.5,Darvish,Manaea,,2:54,N,26743,-----
122,122,Friday Aug 19,boxscore,OAK,@,CHW,W,9,0,,53-69,4,19.5,Graveman,Shields,,2:23,N,20011,+
123,123,Saturday Aug 20,boxscore,OAK,@,CHW,L,2,6,,53-70,4,19.5,Sale,Detwiler,Robertson,2:33,N,21178,-
124,124,Sunday Aug 21,boxscore,OAK,@,CHW,L,2,4,,53-71,4,19.5,Quintana,Neal,Robertson,2:42,D,23030,--
125,125,Monday Aug 22,boxscore,OAK,,CLE,L,0,1,,53-72,4,20.0,Carrasco,Dull,Miller,2:29,N,10114,---
